submission,zindi_id,predpos_full,public_P,TP,FP,FN,TN,precision,recall,lb_auc,lb_f1,lb_blended,note
sub_542_f1lock537_restore308,bNsDafsS,0.5699029126213593,191.0,168.0,23.0,13.0,129.0,0.8795811518324608,0.9281767955801105,0.95947223,0.903225806,0.925724375,"NEW ACCOUNT BEST. sub_537 F1 locked (16 extras, 0 drops, add-only invert 168/23/13/129) with raw sub_308 scores restored on the other 1014 rows. F1 identical to 537; AUC 0.95947223 beats both 537 (0.953329) and 308 (0.957219): +169 / +62 concordant pairs. max() ranking was the leak. Select bNsDafsS + Q7xLfCHt."
sub_537_or_stratum_s1_or_4m_308_533,2F9tRW8b,0.5699029126213593,191.0,168.0,23.0,13.0,129.0,0.8795811518324608,0.9281767955801105,0.953329456,0.903225806,0.923267266,"Superseded as account best by sub_542 (bNsDafsS). Stratum-gated add-only OR of sub_308 U sub_533 extras on S1-only or 4-month Test rows (16 adds, 0 drops). Unique add-only invert TP168/FP23/FN13/TN129 (F1 also matches 154/6 but that would require dropping 10 public TPs, impossible for add-only). Versus sub_308 (164/21): +4 TP +2 FP. 6 public extras at 67% precision. AUC -107 pairs. Select this + Q7xLfCHt."
sub_536_or_max_308_533,HyW59hqV,0.5825242718446602,195.0,169.0,26.0,12.0,126.0,0.8666666666666667,0.9337016574585635,0.953220412,0.89893617,0.920649867,"Add-only OR of sub_308 U all 29 sub_533 extras. Unique invert TP169/FP26/FN12/TN126. Versus sub_308: +5 TP +5 FP. Tiny blended beat +0.000057. Dominated by sub_537 (same family, fewer extras, higher F1). AUC -110 pairs. Keep as scored reserve, not the private pair."
sub_540_sar_relative_specialist,nFTbRbvc,0.3970873786407767,141.0,101.0,40.0,80.0,112.0,0.7163120567375887,0.5580110497237569,0.688099738,0.627329192,0.65163741,SAR-only ExtraTrees+LightGBM specialist REFUTED. Unique invert TP101/FP40/FN80/TN112. Do not upload sub_541 (308 U 540 extras). Source OOF was not a public forecast.
sub_535_f1target_and_308_cnnraw,22efRjhC,0.5194174757281553,176.0,157.0,19.0,24.0,133.0,0.8920454545454546,0.8674033149171271,0.948858679,0.87955182,0.907274564,AND of sub_308 and cnn_raw mean at default 0.5. Aimed at public F1 0.9774 (TP173/FP0). Unique invert TP157/FP19/FN24/TN133. Versus sub_308 (164/21/17/131): dropped 9 public 308-positives = 7 TP + 2 FP. AUC lost ~230 concordant pairs. REFUTED. Do not AND/intersect 308 decisions again. Keep Q7xLfCHt+T8rvcmL3.
sub_308_flagship_f1_transduction_rank,Q7xLfCHt,0.554368932038835,,,,,,,,0.957218668,0.896174863,0.920592385,NEW ACCOUNT BEST. Exact sub_202 F1 decisions with sub_201 model ordering preserved within each decision side; no per-row leaderboard labels or membership used. Raised AUC +0.001272172 with F1 unchanged.
sub_307_flagship_f1_seedscale_rank,T8rvcmL3,0.554368932038835,,,,,,,,0.956200930,0.896174863,0.920185290,Metric-locked conservative finalist. Exact sub_202 F1 decisions with variance-reduced sub_212 ordering within each decision side. Raised AUC +0.000254434 with F1 unchanged.
sub_202_clean_flagship,ju9dTpig,0.554368932038835,,,,,,,,0.955946496,0.896174863,0.920083516,"OFFICIAL PUBLIC RESULT observed on the authenticated Zindi submissions page; 571 positive labels, highest measured score in this account. Runtime raw-data reproducible through build_flagship.py, but the recipe and operating point were public-informed; do not call it public-feedback-free."
sub_212_flagship_seed_scaled,cYT9jiCs,0.5573,186.0,164.0,22.0,17.0,130.0,0.8817,0.9061,0.95620093,0.89373297,0.918720154,"seed-scaled flagship (8 seeds): AUC +0.00025 vs sub_202, F1 -3 boundary rows. Within 333-row noise; lower variance -> private-robust."
sub_201_clean_transduction,8GLosMKw,0.5553,,,,,,,,0.956891538,0.890710382,0.917182844,"OFFICIAL PUBLIC RESULT observed on authenticated Zindi. A raw-equivalent path exists through build_flagship.py, but its design and operating point were public-informed; do not call it public-feedback-free."
